1,How to repair or fix Earpods (Replacing Jack) ,276\xa0141\xa0vues,https://www.youtube.com/watch?v=nqqv03q3fr0,nqqv03q3fr0,Mon Jul 17 10:31:13 2017
2,Amazing Old Broken HeadPhone Repair Hack Using same Jack (Super Easy) ,797\xa0287\xa0vues,https://www.youtube.com/watch?v=3-6JYhsX-6c,3-6JYhsX-6c,Mon Jul 17 10:34:12 2017
3,Headphone Repair No Solder (Easy) ,819\xa0660\xa0vues,https://www.youtube.com/watch?v=vMAm0P04aGA,vMAm0P04aGA,Mon Jul 17 10:41:12 2017
4,Repair Earphone | How to repair easy without soldering | Fix Headphone | KesPra âœ” ,140\xa0717\xa0vues,https://www.youtube.com/watch?v=wLfLFZq4OLg,wLfLFZq4OLg,Mon Jul 17 10:52:12 2017
5,How to fix earphones or headphones Simple Easy DIY tutorial ,31\xa0984\xa0vues,https://www.youtube.com/watch?v=-OeeW_qhZpE,-OeeW_qhZpE,Mon Jul 17 10:55:12 2017
6,Two Awesome idea to fix Broken Head Phone Without Soldering ,207\xa0826\xa0vues,https://www.youtube.com/watch?v=DjuFMBiqOVc,DjuFMBiqOVc,Mon Jul 17 11:02:12 2017
7,Headphone w/ Microphone Repair (Unbroken Headphone Set) ,320\xa0098\xa0vues,https://www.youtube.com/watch?v=4atef-O3kyQ,4atef-O3kyQ,Mon Jul 17 11:08:12 2017
8,Repairing Headphones with Microphone (TRRS Plug) ,880\xa0752\xa0vues,https://www.youtube.com/watch?v=zqyVUHv4A98,zqyVUHv4A98,Mon Jul 17 11:19:13 2017
9,How to Repair or Fix Headphones ,2\xa0642\xa0511\xa0vues,https://www.youtube.com/watch?v=OhnXUQRQ4u4,OhnXUQRQ4u4,Mon Jul 17 11:29:13 2017
10,How to Repair Headphone Wires ,953\xa0297\xa0vues,https://www.youtube.com/watch?v=N-Lpkikdo3Y,N-Lpkikdo3Y,Mon Jul 17 11:44:13 2017
11,How to Fix Broken Headphone jack ! ,155\xa0438\xa0vues,https://www.youtube.com/watch?v=ZYQ1PFmGTH4,ZYQ1PFmGTH4,Mon Jul 17 11:51:13 2017
12,Awesome idea to fix Broken Headphone and Earphone - one side not working ,99\xa0250\xa0vues,https://www.youtube.com/watch?v=KfMMbCE5c4o,KfMMbCE5c4o,Mon Jul 17 11:55:13 2017
13,How to make wireless Headphone ,158\xa0968\xa0vues,https://www.youtube.com/watch?v=1mOaY-gwyRg,1mOaY-gwyRg,Mon Jul 17 12:02:13 2017
14,Convert Your Headphone into Bluetooth Headphone - Homemade ,39\xa0590\xa0vues,https://www.youtube.com/watch?v=gNhSMh99rlg,gNhSMh99rlg,Mon Jul 17 12:10:13 2017
15,How To make Headphone At Home free of cost ,8\xa0544\xa0vues,https://www.youtube.com/watch?v=R4AZIK1Jb6U,R4AZIK1Jb6U,Mon Jul 17 12:16:13 2017
16,How to Make an Emergency Microphone From a Pair of Headphones at Home ,36\xa0891\xa0vues,https://www.youtube.com/watch?v=8m2GYryYytw,8m2GYryYytw,Mon Jul 17 12:26:13 2017
17,Diy stereo electret microphone ,74\xa0186\xa0vues,https://www.youtube.com/watch?v=LSppFqHnp3o,LSppFqHnp3o,Mon Jul 17 12:30:13 2017
18,How to make Studio Microphone from trash!!! ,51\xa0575\xa0vues,https://www.youtube.com/watch?v=ItXzkr2HrmU,ItXzkr2HrmU,Mon Jul 17 12:38:13 2017
